t	step.n	cyc.n	I	E	Q.c	Q.d	step.t	En.d	En.c	Q.c.err	Q.d.err
405	214312.286544813	4	5	0.000443434837507084	2.24810290336609	344.002817200357	928.502436586429	7819.42515917559	1993.08015016214	765.308633851071	5.52861670500574	14.9223605879962
406	214432.310790395	4	5	0.000443469791207463	2.2487165927887	349.2830864275	928.502436586429	7939.44940445556	1993.08015016214	777.1802635725	5.61347817472768	14.9223605879962
407	214552.335079142	4	5	0.000443434837507084	2.2493302822113	354.563361240357	928.502436586429	8059.47369290077	1993.08015016214	789.055364061786	5.69833973422003	14.9223605879962
408	214672.359433995	4	5	0.000443469791207463	2.24994373321533	359.843624701429	928.502436586429	8179.49804805589	1993.08015016214	800.933996909286	5.78320111127296	14.9223605879962
409	214792.383700103	4	5	0.000443434837507084	2.25055742263794	365.123885019286	928.502436586429	8299.5223144657	1993.08015016214	812.816383817143	5.86806243780995	14.9223605879962
410	214912.408090575	4	5	0.000443469791207463	2.25147795677185	370.404147960357	928.502436586429	8419.54670463598	1993.08015016214	824.702592150357	5.95292380650574	14.9223605879962
411	215032.432279107	4	5	0.000443504744907841	2.25209140777588	375.684401691786	928.502436586429	8539.57089286539	1993.08015016214	836.5921940075	6.03778502718941	14.9223605879962
412	215152.456600152	4	5	0.000443469791207463	2.25301194190979	380.964674261071	928.502436586429	8659.59521421277	1993.08015016214	848.485913195	6.12264655062436	14.9223605879962
413	215272.480920594	4	5	0.000443434837507084	2.25331878662109	386.2449359575	928.502436586429	8779.61953465459	1993.08015016214	860.38356341	6.20750789931696	14.9223605879962
414	215392.505128444	4	5	0.000443434837507084	2.25454592704773	391.525201874643	928.502436586429	8899.64374250457	1993.08015016214	872.285114484286	6.29236931584248	14.9223605879962
415	215512.529465488	4	5	0.000443434837507084	2.25485277175903	396.805508728214	928.502436586429	9019.6680795484	1993.08015016214	884.190745402857	6.37723139027487	14.9223605879962
416	215632.55373069	4	5	0.000443434837507084	2.25577330589294	402.085794341786	928.502436586429	9139.69234475079	1993.08015016214	896.100399264286	6.46209312335013	14.9223605879962
417	215752.57803936	4	5	0.000443469791207463	2.25669384002686	407.366079662857	928.502436586429	9259.71665342027	1993.08015016214	908.013924727857	6.54695485172449	14.9223605879962
418	215872.602320862	4	5	0.000443469791207463	2.25761413574219	412.646376475	928.502436586429	9379.74093462097	1993.08015016214	919.930979101429	6.63181676477679	14.9223605879962
419	215992.626556483	4	5	0.000443469791207463	2.2585346698761	417.926635718929	928.502436586429	9499.76517054344	1993.08015016214	931.852785141786	6.71667807405421	14.9223605879962
420	216112.650901073	4	5	0.000443434837507084	2.25914835929871	423.20689763	928.502436586429	9619.78951513364	1993.08015016214	943.778922836786	6.80153942619643	14.9223605879962
421	216232.675228759	4	5	0.000443469791207463	2.26006865501404	428.487175657857	928.502436586429	9739.81384281998	1993.08015016214	955.709423280357	6.88640103735842	14.9223605879962
422	216352.699509658	4	5	0.000443434837507084	2.26037549972534	433.767448165714	928.502436586429	9859.83812341696	1993.08015016214	967.644491095	6.97126255980612	14.9223605879962
423	216472.723771238	4	5	0.000443469791207463	2.26160287857056	439.047711512857	928.502436586429	9979.86238529895	1993.08015016214	979.584017838572	7.05612393502806	14.9223605879962
424	216592.748053043	4	5	0.000443434837507084	2.26252317428589	444.327986024643	928.502436586429	10099.8866671034	1993.08015016214	991.528104616786	7.14098548968176	14.9223605879962
425	216712.772342997	4	5	0.000443434837507084	2.2634437084198	449.608256954286	928.502436586429	10219.9109570578	1993.08015016214	1003.47710948643	7.22584698676531	14.9223605879962
426	216832.797008459	4	5	0.000443469791207463	2.26405739784241	454.888539045357	928.502436586429	10339.9356225197	1993.08015016214	1015.4308921675	7.31070866322895	14.9223605879962
427	216952.820908115	4	5	0.000443469791207463	2.26528453826904	460.168783823571	928.502436586429	10459.9595224778	1993.08015016214	1027.38959452107	7.39556974002168	14.9223605879962
428	217072.845286815	4	5	0.000443434837507084	2.26620507240295	465.449066041786	928.502436586429	10579.9839008757	1993.08015016214	1039.35347608143	7.4804314185287	14.9223605879962
429	217192.869639254	4	5	0.000443434837507084	2.26712536811829	470.729360601072	928.502436586429	10700.0082533141	1993.08015016214	1051.32191242571	7.56529329537436	14.9223605879962
430	217312.893822955	4	5	0.000443434837507084	2.26773905754089	476.0096568075	928.502436586429	10820.0324367139	1993.08015016214	1063.2959549125	7.65015519869196	14.9223605879962
431	217432.918144001	4	5	0.000443469791207463	2.26896643638611	481.289940495714	928.502436586429	10940.0567577594	1993.08015016214	1075.27525293929	7.73501690082398	14.9223605879962
432	217552.942404072	4	5	0.000443399883806705	2.27019357681274	486.570219502857	928.502436586429	11060.0810178303	1993.08015016214	1087.26006595464	7.81987852772449	14.9223605879962
433	217672.966710326	4	5	0.000443469791207463	2.27111411094666	491.850518081786	928.502436586429	11180.1053240849	1993.08015016214	1099.25057205	7.90474046917156	14.9223605879962
434	217792.990957115	4	5	0.000443469791207463	2.27264809608459	497.130812544643	928.502436586429	11300.129571176	1993.08015016214	1111.24669525786	7.98960234446748	14.9223605879962
435	217913.015275444	4	5	0.000443434837507084	2.27356863021851	502.411114099643	928.502436586429	11420.1538895048	1993.08015016214	1123.24884831214	8.07446433374426	14.9223605879962
436	218033.039633316	4	5	0.000443434837507084	2.27479577064514	507.691415167143	928.502436586429	11540.1782473767	1993.08015016214	1135.25692874107	8.15932631518623	14.9223605879962
